Hospital Name, City, Staffed Beds, Total Discharges, Patient Days, Gross Patient Revenue ($)
Adventist Health Simi Valley, Simi Valley, 144, 6574, 26847, 666423
Adventist Ukiah Valley, Ukiah, 50, 3451, 12747, 529977
Downey Medical Center, Downey, 352, 15856, 70158, 2411332
MarinHealth Medical Center, Greenbrae, 235, 9248, 39395, 2216874
Providence Saint John's Health Center, Santa Monica, 266, 12400, 57959, 1259366
Woodland Hills Medical Center, Woodland Hills, 252, 8564, 33082, 1304544
60th Medical Group - David Grant USAF Medical Center, Travis Air Force Base, 0, 0, 0, 0
Adventist Health and Rideout, Marysville, 209, 11677, 56930, 1452858
Adventist Health Bakersfield, Bakersfield, 254, 17389, 67655, 2036693
Adventist Health Glendale, Glendale, 451, 17633, 78905, 2544517
Adventist Health Hanford, Hanford, 230, 9455, 47221, 1143207
Adventist Health Lodi Memorial, Lodi, 190, 8990, 34259, 1456557
Adventist Health Reedley, Reedley, 49, 1838, 6199, 301523
Adventist Health Saint Helena, Saint Helena, 130, 3690, 22828, 1127609
Adventist Health Selma, Selma, 0, 0, 0, 0
Adventist Health Sonora, Sonora, 152, 4158, 14686, 996958
Adventist Health Tulare, Tulare, 108, 688, 3359, 105590
Adventist Health Vallejo, Vallejo, 0, 0, 0, 0
Adventist Health White Memorial, Los Angeles, 353, 18937, 82082, 2393499
AHMC Anaheim Regional Medical Center, Anaheim, 223, 10240, 46132, 1412018
Alameda Hospital, Alameda, 215, 2408, 12134, 402813
Alhambra Hospital Medical Center, Alhambra, 144, 4792, 20061, 553245
Alta Bates Summit Medical Center, Oakland, 354, 11595, 52305, 1693389
Alta Bates Summit Medical Center Herrick Campus, Berkeley, 0, 0, 0, 0
Alta Bates Summit Medical Center Alta Bates Campus, Berkeley, 401, 9352, 65087, 1818558
Alvarado Hospital Medical Center, San Diego, 304, 4832, 23507, 532834
Anaheim Global Medical Center, Anaheim, 183, 2682, 19959, 295471
Anaheim Medical Center, Anaheim, 484, 24383, 98691, 2777703
Antelope Valley Hospital, Lancaster, 393, 19155, 86522, 1823103
Antioch Medical Center, Antioch, 138, 7326, 25035, 939186
Arrowhead Regional Medical Center, Colton, 456, 19145, 99359, 1642821
Arroyo Grande Community Hospital, Arroyo Grande, 67, 4298, 14331, 542368
